CCTV,#genre#
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽3,http://150.138.8.143/00/SNM/CHANNEL00000233/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
莱芜1,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
莱芜2,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
威海2公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8

地方,#genre#
厦门卫视,http://cstv.live.wscdns.com/live/xiamen4/playlist.m3u8
厦门2,http://cstv.live.wscdns.com/live/xiamen2/playlist.m3u8
南京影视,http://live.nbs.cn/channels/njtv/yspd/m3u8:500k/live.m3u8
舟山群岛旅游,http://live.wifizs.cn/qdly/sd/live.m3u8
绍兴文化影视,http://stream.sxtv.com.cn/yspd/sd/live.m3u8
西安影视,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
甘肃影视频道,http://stream.gstv.com.cn/whys/sd/live.m3u8
辽宁影视,http://59.46.18.134:8114/Fsv_otype=1?FvSeid=5bf181c25f226bb2&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=09&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河北影视,http://weblive.hebtv.com/live/hbys_bq/index.m3u8
福州影视频道,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
东方电影,http://101.95.79.109:8114/bobo_hls/00000000000000020000000000471920?Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_chan_hls_se_idx=&Provider_id=&Pcontent_id=

安庆黄梅戏频道,http://live.aqbtv.cn:9600/live/hmx/tzwj_video.m3u8
六安1综合,http://live.china-latv.com/channel1/sd/live.m3u8
六安2公共,http://live.china-latv.com/channel2/sd/live.m3u8
芜湖1综合,http://live1.wuhubtv.com/channel1/sd/live.m3u8
芜湖2生活,http://live1.wuhubtv.com/channel2/sd/live.m3u8
芜湖3公共,http://live1.wuhubtv.com/channel3/sd/live.m3u8
芜湖4教育,http://live1.wuhubtv.com/channel4/sd/live.m3u8
宿州公共,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
宿州综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8

日本家庭剧场,http://192.240.127.34:1935/live/cs11.stream/playlist.m3u8?wowzasessionid=2132394220
日本卫星剧场,http://192.240.127.34:1935/live/cs18.stream/playlist.m3u8?wowzasessionid=1009455217
人文地理记录,http://117.158.206.60:9080/live/renwendili.m3u8
文物宝库,http://117.158.206.60:9080/live/wwbk.m3u8
国家地理,http://aldirect.hls.huya.com/huyalive/29169025-2686221528-11537233612571148288-2847687610-10057-A-1523932939-1_1200.m3u8
荒野挑战,http://aldirect.hls.huya.com/huyalive/28466698-2689656358-11551986095088467968-3048959616-10057-A-1525510878-1_1200.m3u8
环球奇观,http://live3.nty.tv189.com/live/tm-yg1hqqg-512k.m3u8

柳州新闻综合,http://111.12.83.116:6610/000000001000/LZXWZH/1.m3u8?livemode=1&IASHttpSessionId=SLB20482019031013151237694220
柳州科教,http://111.12.83.7:6410/000000001000/lzkj/1.m3u8?livemode=1
柳州公共,http://111.12.83.7:6410/000000001000/lzgg/1.m3u8?livemode=1
桂林新闻综合,http://111.12.83.7:6410/000000001000/Guilin/1.m3u8?livemode=1
桂林公共,http://111.12.83.7:6410/000000001000/GLGG/1.m3u8?livemode=1
桂林科教旅游,http://111.12.83.7:6410/000000001000/GLLY/1.m3u8?livemode=1
贵港新闻综合,http://111.12.83.13:6610/000000001000/XinWenZongHe/1.m3u8?livemode=1&IASHttpSessionId=SLB20072019031013115337860633
北海新闻综合,http://111.12.83.2:6610/000000001000/BeiHai/1.m3u8?livemode=1&IASHttpSessionId=SLB19992019031013130037521848
北海公共,http://111.12.83.7:6410/000000001000/BHGG/1.m3u8?livemode=1
北海经济科教,http://111.12.83.2:6610/000000001000/BHJJ/1.m3u8?livemode=1&IASHttpSessionId=SLB20042019031013141037132508
梧州新闻综合,http://111.12.83.60:6610/000000001000/WuZhou/1.m3u8?livemode=1&IASHttpSessionId=SLB19972019031013144238170753
南宁公共,http://111.12.110.76:6610/000000001000/NNGG/1.m3u8?livemode=1&IASHttpSessionId=SLB3800201903101254503191073
南宁影视娱乐,http://111.12.110.89:6610/000000001000/NNYS/1.m3u8?livemode=1&IASHttpSessionId=SLB1643120190310130553896009
南宁新闻综合,http://111.12.110.87:6610/000000001000/NNXW/1.m3u8?livemode=1&IASHttpSessionId=SLB1643120190310130729896151
南宁都市生活,http://111.12.83.56:6060/000000001000/NNDS/1.m3u8?livemode=1
玉林新闻综合,http://111.12.83.13:6610/000000001000/Yulin/1.m3u8?livemode=1&IASHttpSessionId=SLB20002019031013092037863610

电影,#genre#
林正英,http://aldirect.hls.huya.com/huyalive/94525224-2460686034-10568566041753944064-2789274542-10057-A-0-1_1200.m3u8
周润发,http://tx.hls.huya.com/huyalive/94525224-2460685774-10568564925062447104-2789253840-10057-A-0-1.m3u8
洪金宝电影,http://tx.hls.huya.com/huyalive/29106097-2689406282-11550912026846953472-2789274558-10057-A-0-1.m3u8
周星驰,http://aldirect.hls.huya.com/huyalive/94525224-2460685313-10568562945082523648-2789274524-10057-A-0-1_1200.m3u8
刘德华,http://aldirect.hls.huya.com/huyalive/94525224-2467341872-10597152648291418112-2789274550-10057-A-0-1_1200.m3u8
成龙,http://aldirect.hls.huya.com/huyalive/94525224-2460685722-10568564701724147712-2789253838-10057-A-0-1_1200.m3u8#http://tx.hls.huya.com/huyalive/94525224-2460685722-10568564701724147712-2789253838-10057-A-0-1.m3u8
甄子丹电影,http://tx.hls.huya.com/huyalive/29169025-2686219938-11537226783573147648-2847699096-10057-A-1524024759-1.m3u8
古天乐电影,http://tx.hls.huya.com/huyalive/29169025-2686220040-11537227221659811840-2713685416-10057-A-1524041498-1.m3u8
黄日华,http://ws4.streamhls.huya.com/huyalive/30765679-2523417506-10837995662423883776-2777071322-10057-A-0-1_1200/playlist.m3u8
徐克导演,http://tx.hls.huya.com/huyalive/29106097-2689447148-11551087544980471808-2789253872-10057-A-1525420294-1.m3u8
王晶导演,http://tx.hls.huya.com/huyalive/94525224-2579683592-11079656661667807232-2847687574-10057-A-0-1.m3u8
古惑仔电影,http://tx.hls.huya.com/huyalive/30765679-2523417522-10837995731143360512-2777068634-10057-A-0-1.m3u8
漫威电影,http://tx.hls.huya.com/huyalive/30765679-2504742278-10757786168918540288-3049003128-10057-A-0-1.m3u8
女神港片,http://tx.hls.huya.com/huyalive/30765679-2484192476-10669525441389264896-2789274564-10057-A-0-1.m3u8#http://ws4.streamhls.huya.com/huyalive/30765679-2484192476-10669525441389264896-2789274564-10057-A-0-1_1200/playlist.m3u8
怪物科幻,http://tx.hls.huya.com/huyalive/30765679-2478268764-10644083292078342144-2847699106-10057-A-0-1.m3u8
丧尸电影,http://tx.hls.huya.com/huyalive/29106097-2689286606-11550398022340837376-2789274544-10057-A-0-1.m3u8
战争电影,http://tx.hls.huya.com/huyalive/28466698-2689659358-11551998979990355968-2789274580-10057-A-0-1.m3u8
犯罪悬疑,http://tx.hls.huya.com/huyalive/30765679-2480288304-10652757150331305984-2789274538-10057-A-1511757260-1.m3u8
灾难电影,http://tx.hls.huya.com/huyalive/29359996-2689475864-11551210879261343744-2847699104-10057-A-1525430092-1.m3u8
真实改编,http://tx.hls.huya.com/huyalive/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1.m3u8
惊悚电影,http://tx.hls.huya.com/huyalive/29106097-2689447600-11551089486305689600-2789274568-10057-A-1525420695-1.m3u8
复仇犯罪,http://tx.hls.huya.com/huyalive/28466698-2689661530-11552008308659322880-3049003102-10057-A-0-1.m3u8
斯坦森电影,http://tx.hls.huya.com/huyalive/30765679-2554414705-10971127618396487680-3048991636-10057-A-0-1.m3u8
赌博电影,http://tx.hls.huya.com/huyalive/29106097-2689446042-11551082794746642432-2789253870-10057-A-0-1.m3u8
好莱坞电影2,http://ws4.streamhls.huya.com/huyalive/29106097-2689279104-11550365801496182784-2777026902-10057-A-0-1_1200/playlist.m3u8
好莱坞电影3,http://aldirect.hls.huya.com/huyalive/29169025-2686219962-11537226886652362752-2710080226-10057-A-0-1_1200.m3u8
好莱坞电影4,http://aldirect.hls.huya.com/huyalive/29169025-2686220018-11537227127170531328-2847699120-10057-A-1524041208-1_1200.m3u8
好莱坞电影5,http://aldirect.hls.huya.com/huyalive/28466698-2689659358-11551998979990355968-2789274580-10057-A-0-1_1200.m3u8
好莱坞电影6,http://js.hls.huya.com/huyalive/30765679-2478268764-10644083292078342144-2847699106-10057-A-0-1_1200.m3u8
好莱坞电影8,http://aldirect.hls.huya.com/huyalive/30765679-2504742278-10757786168918540288-3049003128-10057-A-0-1_1200.m3u8
神雕侠侣古天乐版,http://aldirect.hls.huya.com/huyalive/29359996-2689607114-11551774593718943744-2847687530-10057-A-1525492553-1_1200.m3u8
倚天屠龙记苏有朋,http://aldirect.hls.huya.com/huyalive/30765679-2523417175-10837994240789708800-2789253884-10057-A-0-1_1200.m3u8
新水浒传,http://ws4.streamhls.huya.com/huyalive/30765679-2523417567-10837995924416888832-2789253832-10057-A-0-1_1200/playlist.m3u8
